,filter_options,id,configuration,provider_experiment_id,clients_options,product,success_variation,clients,name,experiment_event_start,archive,status,variations,provider_id,date_end,date_start
0,"{""metrics"": [], ""version"": ""0"", ""explosure"": ""dim_has_participated"", ""dim_source"": [""ALL""], ""dim_country"": [""ALL""], ""dim_platform"": [""ALL""], ""ratio_metrics"": {""num"": [], ""denum"": [], ""method"": ""linear""}, ""dim_device_type"": [""ALL""], ""dim_is_new_user"": [""ALL""], ""dim_is_authorised"": [""ALL""], ""is_outlayer_filter"": [0, 0], ""exp_calc_start_date"": """", ""dim_has_participated"": [""0"", ""1""], ""dim_has_subscription"": [""ALL""], ""dim_experiment_variation"": [""1"", ""2"", ""3"", ""4"", ""5""]}",4864,,,,MU,0,"[""MS_IOS""]",PRODUCT. App. Mp3 button visibility,,0,1,2,0,1718886467,1718908486
1,,4759,,6630d33d348d486642683674,,MU,0,"[""MS_WEB"", ""MS_IOS"", ""MS_ANDROID""]",Imported experiment [BLOOMREACH/6630d33d348d486642683674],,0,1,2,1,0,1714495307
2,"""""",3598,,,"{""MS_IOS"": [[""country"", [""AU""]]], ""MS_ANDROID"": [[""country"", [""AU""]]]}",MU,0,"[""MS_ANDROID"", ""MS_IOS""]",AA Experiment Localisation Australia,,0,1,2,0,0,1695373844
3,"{""metrics"": []}",5010,,66acf04ff0f8b449fa540e65,,UG,0,"[""UG_WEB"", ""UGT_IOS"", ""UG_IOS"", ""UGT_ANDROID"", ""UG_ANDROID""]",A/B decades 60s promotion for Nonpaying mix users 4.08.24,,0,1,2,1,0,1722783836
4,"{""metrics"": []}",5016,,6685a0effb3a6208809c1eee,,UG,0,"[""UG_WEB"", ""UGT_IOS"", ""UG_IOS"", ""UGT_ANDROID"", ""UG_ANDROID""]",A/B decades 90s promotion for paying users 4.08.24,,0,1,2,1,0,1722787344
5,,5062,,66a79f09de25f691e08017d5,,MU,0,"[""MS_WEB"", ""MS_IOS"", ""MS_ANDROID""]",Imported experiment [BLOOMREACH/66a79f09de25f691e08017d5],,0,1,2,1,0,1722615370
6,"{""metrics"": [], ""version"": ""0"", ""explosure"": ""dim_has_participated"", ""dim_source"": [""ALL""], ""dim_country"": [""ALL""], ""dim_platform"": [""ALL""], ""ratio_metrics"": {""num"": [], ""denum"": [], ""method"": ""linear""}, ""dim_device_type"": [""ALL""], ""dim_is_new_user"": [""ALL""], ""dim_is_authorised"": [""ALL""], ""is_outlayer_filter"": [0, 0], ""exp_calc_start_date"": """", ""dim_has_participated"": [""0"", ""1""], ""dim_has_subscription"": [""ALL""], ""dim_experiment_variation"": [""1"", ""2"", ""3"", ""4"", ""5""]}",4963,,,,MU,0,"[""MS_ANDROID"", ""MS_IOS""]",PRODUCT. App. Browse Main Page Redesign,,0,1,2,0,1721235498,1722435837
7,,5008,,669fa3ed729ab26d63a4d804,,MU,0,"[""MS_WEB"", ""MS_IOS"", ""MS_ANDROID""]",Imported experiment [BLOOMREACH/669fa3ed729ab26d63a4d804],,0,1,2,1,0,1721751353
8,"{""metrics"": [], ""version"": ""0"", ""explosure"": ""dim_has_participated"", ""dim_source"": [""ALL""], ""dim_country"": [""ALL""], ""dim_platform"": [""ALL""], ""ratio_metrics"": {""num"": [], ""denum"": [], ""method"": ""linear""}, ""dim_device_type"": [""ALL""], ""dim_is_new_user"": [""ALL""], ""dim_is_authorised"": [""ALL""], ""is_outlayer_filter"": [0, 0], ""exp_calc_start_date"": """", ""dim_has_participated"": [""0"", ""1""], ""dim_has_subscription"": [""ALL""], ""dim_experiment_variation"": [""1"", ""2"", ""3"", ""4"", ""5""]}",5047,,,,MU,0,"[""MS_WEB""]",MONEY. MU Web. Raising prices for active subscribers — STRIPE RELEASE,,0,1,3,0,0,1722584798
9,"{""metrics"": [], ""version"": ""0"", ""explosure"": ""dim_has_participated"", ""dim_source"": [""ALL""], ""dim_country"": [""ALL""], ""dim_platform"": [""ALL""], ""ratio_metrics"": {""num"": [], ""denum"": [], ""method"": ""linear""}, ""dim_device_type"": [""ALL""], ""dim_is_new_user"": [""ALL""], ""dim_is_authorised"": [""ALL""], ""is_outlayer_filter"": [0, 0], ""exp_calc_start_date"": """", ""dim_has_participated"": [""0"", ""1""], ""dim_has_subscription"": [""ALL""], ""dim_experiment_variation"": [""1"", ""2"", ""3"", ""4"", ""5""]}",5074,,,,MU,0,"[""MS_ANDROID""]",MONEY. APP. Android. Back to school,,0,1,2,0,0,1723029116
