,variation,unified_id,session_id,exp_start_dt,rights,country,source,os
0,3,"1,706,593,128,963,593,868","1,723,188,685","1,723,188,804",0,AU,UG_WEB,windows
1,3,"1,723,158,955,607,411,244","1,723,177,140","1,723,178,120",0,US,UG_WEB,windows
2,3,"1,714,556,982,756,943,265","1,723,209,180","1,723,209,754",0,GB,UG_WEB,linux
3,1,"1,723,131,987,627,510,363","1,723,197,190","1,723,197,962",0,FR,UG_WEB,windows
4,2,"1,718,074,769,592,677,861","1,723,176,300","1,723,179,303",0,AU,UG_WEB,windows
5,3,"1,716,211,801,643,173,271","1,723,207,850","1,723,209,338",0,FR,UG_WEB,windows
6,3,"1,723,194,982,876,683,212","1,723,194,980","1,723,195,212",0,GB,UG_WEB,ios
7,2,"1,720,442,780,687,357,521","1,723,205,955","1,723,205,981",5,ZA,UG_WEB,windows
8,1,"1,708,076,627,502,074,931","1,723,194,110","1,723,196,321",0,IT,UG_WEB,windows
9,3,"1,717,827,300,993,371,782","1,723,183,775","1,723,183,934",0,MG,UG_WEB,linux
10,1,"1,719,134,933,646,317,905","1,723,208,480","1,723,208,548",0,IN,UG_WEB,windows
11,2,"1,723,192,828,788,657,435","1,723,192,825","1,723,192,829",0,FR,UG_WEB,windows
12,2,"1,723,183,067,519,701,776","1,723,183,065","1,723,183,225",0,MY,UG_WEB,windows
13,3,"1,723,201,841,998,157,565","1,723,201,840","1,723,201,898",0,ZA,UG_WEB,windows
14,2,"1,705,691,832,940,512,086","1,723,193,835","1,723,193,839",0,BE,UG_WEB,ios
15,2,"1,704,292,747,550,611,264","1,723,173,800","1,723,173,835",44,US,UG_WEB,ios
16,1,"1,723,175,991,226,700,766","1,723,175,990","1,723,176,070",0,US,UG_WEB,windows
17,3,"1,720,282,725,183,497,698","1,723,202,995","1,723,203,044",0,GB,UG_WEB,ios
18,1,"1,723,169,160,189,105,092","1,723,169,160","1,723,169,592",0,US,UG_WEB,ios
19,1,"1,704,252,289,253,503,708","1,723,171,335","1,723,171,546",0,US,UG_WEB,windows
20,1,"1,665,958,886,001,785,060","1,723,173,040","1,723,173,142",0,US,UG_WEB,windows
21,2,"1,712,322,637,702,558,262","1,723,194,835","1,723,196,855",0,SE,UG_WEB,ios
22,1,"1,723,168,674,559,777,370","1,723,168,670","1,723,168,902",0,ID,UG_WEB,windows
23,2,"1,721,666,917,374,876,174","1,723,186,745","1,723,186,820",0,US,UG_WEB,windows
24,2,"1,721,899,769,790,381,594","1,723,197,200","1,723,197,211",0,FR,UG_WEB,windows
25,3,"1,718,184,127,501,867,754","1,723,203,170","1,723,203,173",5,NL,UG_WEB,ios
26,1,"1,723,195,745,340,785,061","1,723,195,745","1,723,195,852",0,PK,UG_WEB,windows
27,2,"1,689,723,617,001,521,483","1,723,159,100","1,723,164,379",0,US,UG_WEB,ios
28,3,"1,698,541,812,419,909,097","1,723,164,540","1,723,164,567",0,CA,UG_WEB,windows
29,3,"1,723,092,647,965,234,542","1,723,172,140","1,723,172,262",0,ID,UG_WEB,windows
30,3,"1,723,174,395,532,006,940","1,723,174,395","1,723,175,428",0,ID,UG_WEB,ios
31,3,"1,722,898,417,609,791,818","1,723,196,235","1,723,196,390",0,LT,UG_WEB,linux
32,1,"1,722,763,392,444,814,061","1,723,207,310","1,723,207,341",0,PH,UG_WEB,windows
33,2,"1,711,333,366,680,011,336","1,723,175,340","1,723,175,367",0,CA,UG_WEB,windows
34,1,"1,721,959,246,174,165,790","1,723,170,595","1,723,171,140",0,AU,UG_WEB,ios
35,2,"1,697,797,840,790,261,554","1,723,207,870","1,723,208,506",0,ES,UG_WEB,ios
36,3,"1,720,694,316,531,959,982","1,723,194,660","1,723,197,240",0,PH,UG_WEB,windows
37,2,"1,716,978,346,920,286,637","1,723,206,290","1,723,206,954",0,UA,UG_WEB,windows
38,3,"1,683,787,289,000,175,664","1,723,209,585","1,723,209,597",5,TH,UG_WEB,windows
39,1,"1,723,209,771,766,682,807","1,723,209,770","1,723,209,913",0,IN,UG_WEB,windows
40,2,"1,722,699,769,539,654,920","1,723,186,230","1,723,186,433",0,BD,UG_WEB,windows
41,2,"1,707,874,282,130,469,659","1,723,173,760","1,723,174,260",0,AR,UG_WEB,windows
42,3,"1,696,231,167,448,182,459","1,723,168,880","1,723,169,087",0,US,UG_WEB,windows
43,3,"1,723,162,675,530,303,041","1,723,162,675","1,723,162,837",0,US,UG_WEB,windows
44,3,"1,723,164,453,776,999,477","1,723,164,450","1,723,164,753",0,CA,UG_WEB,chrome os
45,2,"1,723,175,612,603,553,058","1,723,175,610","1,723,175,650",0,US,UG_WEB,windows
46,2,"1,723,174,689,783,750,820","1,723,174,685","1,723,174,827",0,US,UG_WEB,windows
47,1,"1,723,185,313,863,568,932","1,723,185,310","1,723,185,363",0,ID,UG_WEB,chrome os
48,1,"1,721,059,026,867,516,751","1,723,195,605","1,723,195,815",0,IT,UG_WEB,windows
49,3,"1,723,165,574,733,645,142","1,723,165,570","1,723,165,956",0,AU,UG_WEB,windows
50,2,"1,685,022,647,000,563,968","1,723,178,310","1,723,178,343",0,TW,UG_WEB,ios
51,1,"1,719,448,223,781,749,793","1,723,182,060","1,723,182,073",0,PH,UG_WEB,windows
52,1,"1,710,092,216,706,304,204","1,723,195,210","1,723,195,263",0,BE,UG_WEB,ios
53,2,"1,717,431,918,612,536,823","1,723,202,150","1,723,203,446",0,FR,UG_WEB,windows
54,2,"1,723,178,994,319,376,146","1,723,178,990","1,723,179,062",0,US,UG_WEB,windows
55,3,"1,719,732,039,230,736,548","1,723,189,660","1,723,189,677",0,AT,UG_WEB,windows
56,2,"1,690,942,076,001,443,597","1,723,163,985","1,723,164,162",0,VN,UG_WEB,windows
57,2,"1,723,204,597,211,783,187","1,723,204,595","1,723,204,735",0,ID,UG_WEB,linux
58,2,"1,723,178,317,834,073,290","1,723,178,315","1,723,178,411",0,US,UG_WEB,ios
