,cohort_date,variation,members,session_cnt,retention_1d_cnt,retention_7d_cnt,long_tab_view_cnt
0,2024-07-29,1,1628,5000,477,790,1103
1,2024-07-29,2,1601,5317,466,782,1065
2,2024-07-29,3,1639,5111,501,809,1110
3,2024-07-30,1,4064,12357,1160,1989,2761
4,2024-07-30,2,4051,12656,1147,1947,2679
5,2024-07-30,3,4128,12827,1249,2031,2791
6,2024-07-31,1,6333,18943,1797,3092,4311
7,2024-07-31,2,6352,19090,1816,3058,4254
8,2024-07-31,3,6449,19467,1949,3177,4378
9,2024-08-01,1,8566,24910,2435,4183,5855
10,2024-08-01,2,8632,25245,2509,4187,5764
11,2024-08-01,3,8775,25479,2603,4308,5963
12,2024-08-02,1,10800,30422,3045,5236,7331
13,2024-08-02,2,10918,30745,3139,5254,7227
14,2024-08-02,3,10989,30902,3179,5330,7390
15,2024-08-03,1,13111,35863,3701,6325,8811
16,2024-08-03,2,13156,35879,3789,6325,8697
17,2024-08-03,3,13273,36065,3813,6360,8865
18,2024-08-04,1,15294,40552,4320,7367,10239
19,2024-08-04,2,15270,40524,4415,7326,10128
20,2024-08-04,3,15434,40729,4428,7404,10297
21,2024-08-05,1,17976,46345,5118,8708,12079
22,2024-08-05,2,17958,46038,5164,8651,11976
23,2024-08-05,3,18069,46157,5184,8698,12103
24,2024-08-06,1,20416,50751,5815,9846,13646
25,2024-08-06,2,20361,50596,5874,9862,13553
26,2024-08-06,3,20589,50889,5900,9917,13713
27,2024-08-07,1,22640,54462,6486,10911,15058
28,2024-08-07,2,22514,54168,6487,10895,14951
29,2024-08-07,3,22771,54553,6516,10980,15117
30,2024-08-08,1,24828,57542,7112,12002,16449
31,2024-08-08,2,24626,57192,7105,11925,16233
32,2024-08-08,3,24908,57564,7130,11981,16392
33,2024-08-09,1,25845,58724,7398,12477,17053
35,2024-08-09,2,25661,58398,7390,12425,16835
34,2024-08-09,3,25943,58767,7395,12457,16973
